alert_id,alert_type,severity,priority_score,entity_id,source_system,rule_name,justification,status,recommended_action,owner_role,detected_at,historical_note
ALT0011,UNUSUAL_TRANSACTION,CRITICAL,4,TX77771,FINANCE,high_amount_threshold,Montant inhabituel 1800000 XOF au-delà du seuil 1000000 XOF.,NEW,"Bloquer la transaction, rapprocher avec pièces comptables et valider l'autorisation.",MOA Finance,2026-04-22,Détectée automatiquement par la chaîne data; à valider par la MOA.
ALT0012,UNUSUAL_TRANSACTION,CRITICAL,4,TX77772,FINANCE,high_amount_threshold,Montant inhabituel 1800000 XOF au-delà du seuil 1000000 XOF.,NEW,"Bloquer la transaction, rapprocher avec pièces comptables et valider l'autorisation.",MOA Finance,2026-04-22,Détectée automatiquement par la chaîne data; à valider par la MOA.
ALT0013,UNUSUAL_TRANSACTION,CRITICAL,4,"TX77771, TX77772",FINANCE,duplicate_same_day_transaction,2 transactions dupliquées le 2025-12-22 pour 1800000 XOF.,NEW,"Rejouer l'intégration, vérifier doublons de flux et annuler les écritures en trop.",MOE Data / Finance,2026-04-22,Détectée automatiquement par la chaîne data; à valider par la MOA.
ALT0009,CROSS_SYSTEM_GAP,HIGH,3,TX00081,FINANCE/SCOLARITE/RH,cost_center_mismatch,Transaction TX00081 sur CC-OPS incompatible avec le département OPS.,NEW,Valider le mapping des centres de coûts et corriger l'alimentation des interfaces.,MOE Data,2026-04-22,Détectée automatiquement par la chaîne data; à valider par la MOA.
ALT0010,CROSS_SYSTEM_GAP,HIGH,3,TX99991,FINANCE/SCOLARITE/RH,cost_center_mismatch,Transaction TX99991 sur CC-FIN incompatible avec le département nan.,NEW,Valider le mapping des centres de coûts et corriger l'alimentation des interfaces.,MOE Data,2026-04-22,Détectée automatiquement par la chaîne data; à valider par la MOA.
ALT0001,DUPLICATE_REGISTRATION,HIGH,3,"STD0005, STD041",SCOLARITE,duplicate_national_id,2 inscriptions partagent le national_id CNI100005.,NEW,"Vérifier l'identité réelle, fusionner ou clôturer les doublons.",MOA Scolarité,2026-04-22,Détectée automatiquement par la chaîne data; à valider par la MOA.
ALT0002,DUPLICATE_REGISTRATION,HIGH,3,"STD0013, STD042",SCOLARITE,duplicate_national_id,2 inscriptions partagent le national_id CNI100013.,NEW,"Vérifier l'identité réelle, fusionner ou clôturer les doublons.",MOA Scolarité,2026-04-22,Détectée automatiquement par la chaîne data; à valider par la MOA.
ALT0007,GRADE_ANOMALY,HIGH,3,STD0020,SCOLARITE,missing_or_invalid_grade,note incohérente (24.0) pour BI au semestre S1.,NEW,"Vérifier la saisie des notes, le procès-verbal et republier si nécessaire.",MOA Pédagogie,2026-04-22,Détectée automatiquement par la chaîne data; à valider par la MOA.
ALT0008,ORPHAN_PAYMENT,HIGH,3,PAY99991,FINANCE,payment_without_student,Paiement PAY99991 rattaché à STD9999 absent du référentiel scolarité.,NEW,Corriger l'identifiant étudiant ou annuler l'écriture concernée.,MOE Data / Finance,2026-04-22,Détectée automatiquement par la chaîne data; à valider par la MOA.
ALT0003,PAID_WITHOUT_TRACE,HIGH,3,PAY00062,FINANCE,paid_without_receipt_or_zero_amount,Paiement PAY00062 marqué PAID avec reçu manquant ou montant nul (240000).,NEW,"Contrôler pièce justificative, journal de caisse et utilisateur de saisie.",MOA Finance,2026-04-22,Détectée automatiquement par la chaîne data; à valider par la MOA.
ALT0004,PAID_WITHOUT_TRACE,HIGH,3,PAY00142,FINANCE,paid_without_receipt_or_zero_amount,Paiement PAY00142 marqué PAID avec reçu manquant ou montant nul (180000).,NEW,"Contrôler pièce justificative, journal de caisse et utilisateur de saisie.",MOA Finance,2026-04-22,Détectée automatiquement par la chaîne data; à valider par la MOA.
ALT0005,PAID_WITHOUT_TRACE,HIGH,3,PAY00221,FINANCE,paid_without_receipt_or_zero_amount,Paiement PAY00221 marqué PAID avec reçu manquant ou montant nul (0).,NEW,"Contrôler pièce justificative, journal de caisse et utilisateur de saisie.",MOA Finance,2026-04-22,Détectée automatiquement par la chaîne data; à valider par la MOA.
ALT0006,GRADE_ANOMALY,MEDIUM,2,STD0012,SCOLARITE,missing_or_invalid_grade,note manquante pour DB au semestre S1.,NEW,"Vérifier la saisie des notes, le procès-verbal et republier si nécessaire.",MOA Pédagogie,2026-04-22,Détectée automatiquement par la chaîne data; à valider par la MOA.
